filename,Unnamed: 0,group,image_path,clean
M0389C020000.jpg,0,train,/images/train/M0389C020000.jpg,False
M0390C025000.jpg,1,test,/images/test/M0390C025000.jpg,False
M0390C057000.jpg,2,train,/images/train/M0390C057000.jpg,False
M0414C020100.jpg,3,test,/images/test/M0414C020100.jpg,True
M0414C029100.jpg,4,train,/images/train/M0414C029100.jpg,True
M0414C041100.jpg,5,train,/images/train/M0414C041100.jpg,True
M0414C043100.jpg,6,train,/images/train/M0414C043100.jpg,True
M0414C044100.jpg,7,train,/images/train/M0414C044100.jpg,False
M0415C001100.jpg,8,train,/images/train/M0415C001100.jpg,False
M0415C002100.jpg,9,test,/images/test/M0415C002100.jpg,True
M0415C003100.jpg,10,train,/images/train/M0415C003100.jpg,True
M0415C004100.jpg,11,train,/images/train/M0415C004100.jpg,True
M0415C005100.jpg,12,train,/images/train/M0415C005100.jpg,True
M0415C006100.jpg,13,train,/images/train/M0415C006100.jpg,True
M0415C007100.jpg,14,train,/images/train/M0415C007100.jpg,True
M0415C008100.jpg,15,train,/images/train/M0415C008100.jpg,True
M0415C009100.jpg,16,train,/images/train/M0415C009100.jpg,True
M0415C010100.jpg,17,train,/images/train/M0415C010100.jpg,True
M0415C011100.jpg,18,train,/images/train/M0415C011100.jpg,True
M0415C012100.jpg,19,train,/images/train/M0415C012100.jpg,True
M0415C013100.jpg,20,test,/images/test/M0415C013100.jpg,True
M0415C014100.jpg,21,train,/images/train/M0415C014100.jpg,True
M0415C015100.jpg,22,train,/images/train/M0415C015100.jpg,True
M0415C016100.jpg,23,train,/images/train/M0415C016100.jpg,True
M0415C017100.jpg,24,train,/images/train/M0415C017100.jpg,True
M0415C018100.jpg,25,train,/images/train/M0415C018100.jpg,True
M0415C019100.jpg,26,train,/images/train/M0415C019100.jpg,True
M0415C020100.jpg,27,train,/images/train/M0415C020100.jpg,True
M0415C021100.jpg,28,test,/images/test/M0415C021100.jpg,True
M0415C022100.jpg,29,train,/images/train/M0415C022100.jpg,True
M0415C023100.jpg,30,test,/images/test/M0415C023100.jpg,True
M0415C024100.jpg,31,train,/images/train/M0415C024100.jpg,True
M0415C025100.jpg,32,test,/images/test/M0415C025100.jpg,True
M0415C027100.jpg,33,train,/images/train/M0415C027100.jpg,True
M0415C028100.jpg,34,train,/images/train/M0415C028100.jpg,True
M0415C029100.jpg,35,train,/images/train/M0415C029100.jpg,True
M0415C031100.jpg,36,test,/images/test/M0415C031100.jpg,True
M0415C032100.jpg,37,train,/images/train/M0415C032100.jpg,True
M0415C033100.jpg,38,train,/images/train/M0415C033100.jpg,True
M0415C034100.jpg,39,train,/images/train/M0415C034100.jpg,True
M0415C035100.jpg,40,train,/images/train/M0415C035100.jpg,True
M0415C036100.jpg,41,train,/images/train/M0415C036100.jpg,True
M0415C037100.jpg,42,test,/images/test/M0415C037100.jpg,True
M0415C038100.jpg,43,train,/images/train/M0415C038100.jpg,True
M0415C039100.jpg,44,train,/images/train/M0415C039100.jpg,True
M0415C041100.jpg,45,train,/images/train/M0415C041100.jpg,True
M0415C042100.jpg,46,test,/images/test/M0415C042100.jpg,True
M0415C043100.jpg,47,train,/images/train/M0415C043100.jpg,True
M0415C044100.jpg,48,train,/images/train/M0415C044100.jpg,True
M0415C045100.jpg,49,test,/images/test/M0415C045100.jpg,True
M0415C046100.jpg,50,train,/images/train/M0415C046100.jpg,True
M0415C047100.jpg,51,train,/images/train/M0415C047100.jpg,True
M0415C048100.jpg,52,train,/images/train/M0415C048100.jpg,True
M0415C049100.jpg,53,train,/images/train/M0415C049100.jpg,True
M0415C050100.jpg,54,train,/images/train/M0415C050100.jpg,True
M0415C051100.jpg,55,train,/images/train/M0415C051100.jpg,True
M0415C052100.jpg,56,train,/images/train/M0415C052100.jpg,True
M0415C053100.jpg,57,train,/images/train/M0415C053100.jpg,True
M0415C054100.jpg,58,train,/images/train/M0415C054100.jpg,True
M0415C056100.jpg,59,train,/images/train/M0415C056100.jpg,True
M0415C057100.jpg,60,train,/images/train/M0415C057100.jpg,True
M0415C058100.jpg,61,train,/images/train/M0415C058100.jpg,True
M0415C059100.jpg,62,train,/images/train/M0415C059100.jpg,True
M0415C060100.jpg,63,train,/images/train/M0415C060100.jpg,True
M0415C061100.jpg,64,test,/images/test/M0415C061100.jpg,True
M0415C062100.jpg,65,train,/images/train/M0415C062100.jpg,True
M0416C001100.jpg,66,train,/images/train/M0416C001100.jpg,True
M0416C002100.jpg,67,test,/images/test/M0416C002100.jpg,True
M0416C003100.jpg,68,train,/images/train/M0416C003100.jpg,True
